Designator,Mid X,Mid Y,Rotation,Layer
C1,126.78,-72.75,180.0,bottom
C10,141.65,-46.75,270.0,bottom
C11,81.0,-59.725,90.0,bottom
C12,97.238388,-59.42,90.0,bottom
C15,106.05,-64.98,270.0,bottom
C17,104.7,-68.5,90.0,bottom
C18,100.38,-70.1,180.0,bottom
C2,129.9,-77.025,90.0,bottom
C21,100.38,-71.5,180.0,bottom
C3,124.25,-77.02,90.0,bottom
C4,118.62,-75.25,0.0,bottom
C5,118.15,-73.1,0.0,bottom
C6,141.65,-44.52,90.0,bottom
C7,74.65,-52.6,180.0,bottom
C8,143.9,-44.05,90.0,bottom
C9,74.475,-54.75,180.0,bottom
D1,87.0,-98.5,270.0,bottom
D12,125.0,-98.5,270.0,bottom
D13,126.1,-119.0,270.0,bottom
D14,112.0,-121.5,0.0,bottom
D15,111.15,-159.45,0.0,bottom
D16,106.0,-170.5,90.0,bottom
D17,135.1,-108.7,180.0,bottom
D18,136.5,-134.5,180.0,bottom
D19,136.5,-172.5,180.0,bottom
D2,87.0,-119.0,270.0,bottom
D3,74.0,-121.5,0.0,bottom
D4,88.7,-159.5,0.0,bottom
D5,102.0,-170.5,90.0,bottom
D6,106.0,-98.5,270.0,bottom
D7,106.0,-119.0,270.0,bottom
D8,93.0,-121.5,0.0,bottom
D9,106.05,-161.15,90.0,bottom
J2,80.0,-37.8,180.0,bottom
J5,76.6,-66.7,90.0,bottom
R1,114.8,-72.025,270.0,bottom
R10,116.95,-50.05,270.0,bottom
R11,145.0,-54.8,90.0,bottom
R12,145.0,-59.3,90.0,bottom
R13,145.0,-64.15,90.0,bottom
R14,141.9,-64.15,90.0,bottom
R15,86.65,-41.6,90.0,bottom
R16,83.25,-45.5,0.0,bottom
R17,77.25,-45.5,0.0,bottom
R19,143.51,-48.2,0.0,bottom
R2,114.8,-75.4,270.0,bottom
R20,115.55,-59.925,90.0,bottom
R21,117.1,-58.59,90.0,bottom
R22,105.25,-40.05,270.0,bottom
R23,134.4,-70.15,270.0,bottom
R24,132.8,-70.15,90.0,bottom
R25,131.2,-70.15,90.0,bottom
R26,95.7,-61.525,90.0,bottom
R27,83.4,-53.4,180.0,bottom
R28,86.4,-52.2,180.0,bottom
R29,104.55,-63.99,270.0,bottom
R3,114.8,-78.0,270.0,bottom
R30,100.075,-63.4,180.0,bottom
R31,111.6,-64.36,270.0,bottom
R33,103.45,-68.44,90.0,bottom
R4,119.5125,-82.7,180.0,bottom
R5,124.25,-78.94,90.0,bottom
R6,120.8,-74.425,90.0,bottom
R7,120.8,-70.75,90.0,bottom
R8,74.0,-72.2,180.0,bottom
R9,74.0,-73.6,180.0,bottom
SW21,110.1,-49.55,180.0,bottom
U1,119.5125,-78.8,270.0,bottom
U7,108.7,-64.5,180.0,bottom
U8,100.65,-67.05,180.0,bottom
