Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C18, C21, C3, C4, C6",0402,7,0.1u,C307331
C10,0402,1,1u,C52923
"C11, C9",0603,2,4.7u,C19666
"C12, C2",0402,2,0.01u,C15195
C17,0402,1,1000p,C1523
"C5, C7, C8",0805,3,10u,C440198
"D1, D12, D13, D14, D15, D16, D17, D18, D19, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,17,D,C81598
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Main,C2988369
J5,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Li-Po(PH_S2B_SMD),
R1,0603,1,33k,C22967
"R10, R19, R23, R24, R25, R31, R8, R9",0402,8,10k,C25744
"R11, R12, R13, R15",0402,4,1k,C11702
R14,0402,1,330,C25104
"R16, R17",0402,2,5.1k,C25905
"R2, R30",0603,2,330k,C23137
R20,0603,1,13k,C22797
R21,0402,1,33k,C25779
"R22, R33",0402,2,470,C25117
R26,0603,1,100,C22775
"R27, R28",0603,2,33,C23140
"R29, R3, R4, R5",0402,4,100k,C25741
R6,0603,1,470k,C23178
R7,0603,1,1M,C22935
SW21,TVAF06,1,TVAF06,
U1,TSSOP-14_4.4x5mm_P0.65mm,1,LM324APT,C111180
U7,SOT-363_SC-70-6,1,NC7SV157,C184123
U8,XC6194,1,XC6194AA05ER-G,C18221112
